p,d,q,aic
0,1,0,8109.087749466981
3,1,0,8109.272376402503
0,1,3,8109.306194043997
0,1,1,8110.604531611622
1,1,0,8110.60669486885
3,1,1,8111.237400087517
4,1,0,8111.24185034061
1,1,3,8111.2549539960155
0,1,4,8111.257820039364
2,2,3,8111.262707441936
1,1,1,8111.277638533112
0,1,2,8112.581011924303
2,1,0,8112.595313460572
3,2,3,8113.127658317105
2,2,4,8113.143954584888
2,1,1,8113.178932701947
3,1,2,8113.216548871986
1,1,4,8113.2340593929175
4,1,1,8113.242171502572
2,1,3,8113.242599674748
2,1,2,8114.36534305748
1,1,2,8114.604202552389
4,2,3,8114.7206755470215
3,1,3,8115.212640847245
4,1,2,8115.215953276811
2,1,4,8115.216042153832
1,0,0,8116.6079385861585
4,1,3,8117.210842155018
3,1,4,8117.214500709151
4,0,0,8117.329261749812
1,0,3,8117.380207103282
0,2,1,8117.687936168374
3,2,1,8117.917325039816
0,2,4,8117.954894336731
1,0,1,8118.339116760312
2,0,0,8118.340438193836
1,2,1,8119.183670043787
0,2,2,8119.188411513085
4,1,4,8119.2142734130375
2,0,3,8119.233344166372
4,0,1,8119.290075999468
1,0,4,8119.29361569586
1,2,2,8119.659529275194
4,2,1,8119.881611006375
2,0,1,8120.22749930178
1,0,2,8120.328849618202
3,0,0,8120.339134157104
4,2,2,8120.685343898709
0,2,3,8121.162869091238
2,2,1,8121.175308241398
4,0,2,8121.197922773086
2,0,4,8121.221421654997
3,0,3,8121.239700267557
1,2,3,8121.387601614985
2,2,2,8121.390123960305
4,2,4,8121.6368114566485
3,0,1,8121.869667146544
2,0,2,8122.268431356018
3,0,2,8122.597026923557
4,0,3,8123.189642677108
3,0,4,8123.237479744955
1,2,4,8123.307787385673
3,2,2,8123.32849229217
3,2,4,8123.371342445424
4,0,4,8125.019388938013
4,2,0,8758.136435694512
3,2,0,8905.104942399092
2,2,0,9157.520137512172
1,2,0,9497.786474657796
0,2,0,10491.200139779135
0,0,4,14402.847064262722
0,0,3,16015.348284327574
0,0,2,18365.264774690877
0,0,1,21715.76727251275
